Financial Year,Reporting Period,Activity Month,Organisation breakdown,Org Code,Org Name,Region Code,Region Name,Specific acute specialties: Ordinary Elective,Specific acute specialties: Daycase Elective,Specific acute specialties: Elective total,Specific acute specialties: Non-Elective,Specific acute specialties: First attendances seen - GP referrals,Specific acute specialties: First attendances seen - other referrals,Specific acute specialties: First attendances seen total,Specific acute specialties: First attendances DNA,Specific acute specialties: Subsequent attendances seen,Specific acute specialties: Subsequent attendances DNA,All specialties: Ordinary Elective,All specialties: Daycase Elective,All specialties: Elective total,All specialties: Non-Elective,All specialties: First attendances seen - GP referrals,All specialties: First attendances seen - other referrals,All specialties: First attendances seen total,All specialties: First attendances DNA,All specialties: Subsequent attendances seen,All specialties: Subsequent attendances DNA
2020-21,4,Apr-20,National,All,-,-,-,31733,158465,190198,368741,352983,434756,787739,53845,2060910,120336,34172,158759,192931,457540,375743,502450,878193,60946,2388729,149343
2020-21,4,May-20,National,All,-,-,-,39518,190348,229866,441875,415271,527181,942452,57449,2197130,125496,41938,190680,232618,537269,438008,596316,1034324,63782,2521055,152236
2020-21,4,Jun-20,National,All,-,-,-,54622,282332,336954,487291,566420,724067,1290487,82215,2882586,175264,57221,282783,340004,583196,592249,804601,1396850,89937,3245595,205068
2020-21,4,Jul-20,National,All,-,-,-,73035,369212,442247,529280,624874,796726,1421600,96260,3097792,209754,75991,369750,445741,630256,652818,880375,1533193,104604,3474246,242387
2020-21,4,Apr-20,Region of CCG,-,-,Y56,LONDON COMMISSIONING REGION,4400,17070,21465,49075,60045,91610,151655,13995,339875,29190,5365,17270,22640,67375,63870,104995,168865,15885,421390,39025
2020-21,4,Apr-20,Region of CCG,-,-,Y58,SOUTH WEST COMMISSIONING REGION,3360,18905,22265,36540,30020,34995,65010,4090,176200,8285,3635,18920,22555,44005,31255,40480,71740,4475,193190,9205
2020-21,4,Apr-20,Region of CCG,-,-,Y59,SOUTH EAST COMMISSIONING REGION,6750,19350,26100,54785,65100,76840,141940,8285,323845,16205,7040,19385,26425,65090,70400,90680,161080,9595,370970,18355
2020-21,4,Apr-20,Region of CCG,-,-,Y60,MIDLANDS COMMISSIONING REGION,6450,34160,40610,72385,63105,68490,131595,9250,371145,20380,6705,34165,40870,88160,69350,76935,146285,10455,431020,24325
2020-21,4,Apr-20,Region of CCG,-,-,Y61,EAST OF ENGLAND COMMISSIONING REGION,2970,20330,23300,42065,38745,46280,85025,4760,212500,11170,3165,20345,23510,50620,40605,51960,92565,5190,234755,12510
2020-21,4,Apr-20,Region of CCG,-,-,Y62,NORTH WEST COMMISSIONING REGION,3435,18160,21595,55160,41765,49260,91025,6235,306820,16115,3580,18170,21755,68195,43095,58975,102065,7475,350990,20530
